RESPONDENT_ID,V1_x,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
777,2010,2.0,1.0,1.0,1.0,1.0,1.0,5.0
778,2010,2.0,1.0,1.0,1.0,3.0,1.0,4.0
779,2010,1.0,1.0,1.0,1.0,2.0,1.0,4.0
780,2010,3.0,1.0,1.0,1.0,4.0,5.0,4.0
782,2010,2.0,1.0,1.0,1.0,4.0,4.0,4.0
784,2010,2.0,1.0,1.0,1.0,2.0,4.0,2.0
786,2010,1.0,1.0,1.0,1.0,,,
789,2010,3.0,0.0,1.0,1.0,1.0,1.0,5.0
790,2010,2.0,0.0,1.0,1.0,3.0,4.0,4.0
791,2010,2.0,1.0,1.0,1.0,1.0,1.0,5.0
792,2010,1.0,1.0,1.0,1.0,2.0,2.0,4.0
794,2010,4.0,1.0,1.0,1.0,2.0,2.0,5.0
798,2010,2.0,1.0,1.0,1.0,4.0,5.0,4.0
799,2010,3.0,1.0,1.0,1.0,,,
802,2010,2.0,1.0,0.0,1.0,2.0,5.0,5.0
804,2010,2.0,,,,4.0,3.0,4.0
808,2010,2.0,1.0,1.0,1.0,1.0,3.0,5.0
809,2010,1.0,1.0,1.0,1.0,1.0,1.0,5.0
811,2010,1.0,0.0,1.0,1.0,2.0,2.0,5.0
813,2010,2.0,1.0,1.0,1.0,4.0,3.0,3.0
818,2010,2.0,1.0,1.0,1.0,1.0,1.0,4.0
819,2010,3.0,,,,,,
820,2010,3.0,1.0,1.0,1.0,5.0,4.0,5.0
821,2010,3.0,1.0,1.0,1.0,3.0,3.0,4.0
822,2010,1.0,1.0,1.0,1.0,,,
823,2010,3.0,1.0,1.0,1.0,2.0,2.0,5.0
824,2010,2.0,1.0,1.0,1.0,2.0,2.0,4.0
825,2010,3.0,1.0,1.0,1.0,4.0,3.0,4.0
826,2010,4.0,1.0,1.0,1.0,,,
828,2010,0.0,0.0,0.0,1.0,1.0,5.0,
829,2010,2.0,1.0,1.0,1.0,2.0,1.0,4.0
830,2010,2.0,1.0,1.0,0.0,4.0,2.0,5.0
835,2010,3.0,,,,2.0,2.0,4.0
836,2010,2.0,1.0,1.0,1.0,2.0,4.0,4.0
837,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
840,2010,2.0,1.0,0.0,0.0,,,
843,2010,1.0,1.0,0.0,1.0,1.0,2.0,4.0
844,2010,3.0,1.0,0.0,1.0,3.0,1.0,5.0
846,2010,2.0,0.0,0.0,1.0,2.0,2.0,4.0
848,2010,2.0,1.0,1.0,1.0,3.0,1.0,5.0
849,2010,2.0,1.0,1.0,1.0,,,
852,2010,3.0,1.0,0.0,1.0,1.0,1.0,5.0
856,2010,1.0,0.0,1.0,1.0,3.0,3.0,3.0
861,2010,2.0,0.0,0.0,1.0,2.0,3.0,5.0
864,2010,0.0,1.0,1.0,1.0,5.0,5.0,2.0
866,2010,2.0,1.0,1.0,1.0,1.0,5.0,5.0
867,2010,2.0,0.0,1.0,1.0,2.0,3.0,5.0
868,2010,0.0,1.0,1.0,1.0,1.0,1.0,1.0
869,2010,2.0,1.0,1.0,1.0,4.0,5.0,3.0
870,2010,2.0,1.0,1.0,0.0,2.0,2.0,5.0
872,2010,2.0,0.0,1.0,1.0,3.0,3.0,4.0
874,2010,4.0,1.0,1.0,1.0,1.0,3.0,3.0
875,2010,2.0,1.0,1.0,1.0,1.0,4.0,5.0
876,2010,2.0,1.0,0.0,1.0,3.0,3.0,3.0
878,2010,0.0,1.0,1.0,1.0,1.0,1.0,3.0
880,2010,2.0,1.0,0.0,1.0,2.0,3.0,4.0
881,2010,2.0,1.0,0.0,1.0,3.0,3.0,5.0
883,2010,4.0,1.0,1.0,1.0,5.0,3.0,3.0
885,2010,4.0,1.0,1.0,1.0,2.0,5.0,5.0
888,2010,2.0,1.0,1.0,1.0,2.0,5.0,3.0
889,2010,3.0,1.0,1.0,1.0,3.0,3.0,4.0
890,2010,3.0,0.0,1.0,0.0,2.0,1.0,5.0
891,2010,2.0,0.0,0.0,1.0,1.0,4.0,4.0
895,2010,1.0,,,,2.0,2.0,5.0
898,2010,1.0,0.0,0.0,1.0,4.0,4.0,5.0
901,2010,2.0,0.0,1.0,1.0,5.0,3.0,5.0
902,2010,1.0,,,,1.0,1.0,1.0
905,2010,3.0,1.0,0.0,1.0,3.0,5.0,5.0
908,2010,2.0,1.0,0.0,1.0,2.0,1.0,1.0
909,2010,2.0,1.0,1.0,1.0,1.0,2.0,3.0
910,2010,1.0,1.0,1.0,1.0,3.0,2.0,4.0
911,2010,2.0,1.0,1.0,1.0,,,
912,2010,3.0,1.0,0.0,1.0,5.0,5.0,1.0
914,2010,2.0,1.0,1.0,1.0,1.0,3.0,2.0
915,2010,3.0,1.0,0.0,1.0,1.0,4.0,3.0
916,2010,2.0,1.0,1.0,1.0,1.0,1.0,3.0
917,2010,2.0,,,,5.0,5.0,4.0
918,2010,2.0,,,,2.0,5.0,5.0
919,2010,3.0,0.0,1.0,1.0,2.0,3.0,5.0
920,2010,2.0,1.0,0.0,1.0,2.0,2.0,4.0
921,2010,2.0,0.0,0.0,0.0,1.0,1.0,5.0
922,2010,2.0,1.0,1.0,1.0,1.0,3.0,5.0
923,2010,3.0,1.0,1.0,1.0,4.0,5.0,4.0
927,2010,4.0,0.0,0.0,1.0,4.0,2.0,4.0
931,2010,1.0,0.0,0.0,1.0,1.0,1.0,5.0
932,2010,1.0,1.0,1.0,1.0,4.0,1.0,4.0
933,2010,1.0,1.0,1.0,1.0,1.0,5.0,5.0
934,2010,4.0,1.0,0.0,1.0,,,
935,2010,2.0,1.0,0.0,1.0,1.0,2.0,5.0
937,2010,2.0,1.0,0.0,1.0,1.0,3.0,4.0
940,2010,3.0,0.0,1.0,1.0,2.0,5.0,5.0
941,2010,0.0,1.0,0.0,1.0,3.0,2.0,5.0
942,2010,2.0,1.0,0.0,1.0,3.0,1.0,5.0
943,2010,4.0,0.0,1.0,1.0,2.0,1.0,1.0
944,2010,3.0,1.0,1.0,1.0,1.0,4.0,3.0
945,2010,3.0,0.0,1.0,1.0,4.0,4.0,5.0
946,2010,4.0,1.0,0.0,1.0,4.0,4.0,4.0
948,2010,2.0,1.0,1.0,1.0,5.0,5.0,2.0
952,2010,3.0,1.0,1.0,1.0,1.0,1.0,5.0
953,2010,3.0,0.0,0.0,1.0,4.0,5.0,5.0
954,2010,2.0,1.0,1.0,1.0,4.0,3.0,5.0
956,2010,2.0,0.0,0.0,0.0,3.0,5.0,2.0
958,2010,2.0,1.0,1.0,1.0,3.0,3.0,4.0
