RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
342,2013,1.0,4.0,1.0,2.0,1.0,4.0
343,2013,1.0,4.0,1.0,,,
344,2013,0.0,2.0,1.0,2.0,2.0,2.0
345,2013,0.0,4.0,1.0,2.0,4.0,5.0
346,2013,0.0,1.0,1.0,3.0,3.0,4.0
347,2013,0.0,2.0,1.0,1.0,1.0,5.0
348,2013,1.0,2.0,0.0,3.0,5.0,5.0
349,2013,0.0,0.0,1.0,1.0,1.0,5.0
350,2013,1.0,3.0,1.0,2.0,2.0,4.0
351,2013,1.0,4.0,1.0,3.0,5.0,3.0
352,2013,1.0,2.0,1.0,2.0,2.0,4.0
353,2013,0.0,0.0,0.0,1.0,1.0,5.0
356,2013,0.0,2.0,1.0,2.0,1.0,4.0
357,2013,1.0,2.0,0.0,4.0,2.0,4.0
358,2013,0.0,3.0,1.0,3.0,3.0,3.0
360,2013,1.0,1.0,1.0,2.0,5.0,4.0
361,2013,1.0,2.0,1.0,5.0,4.0,4.0
364,2013,1.0,1.0,1.0,5.0,3.0,5.0
370,2013,1.0,2.0,0.0,5.0,2.0,5.0
371,2013,1.0,1.0,1.0,3.0,3.0,4.0
373,2013,1.0,2.0,1.0,2.0,4.0,5.0
374,2013,1.0,3.0,1.0,1.0,1.0,4.0
375,2013,1.0,3.0,0.0,4.0,5.0,4.0
376,2013,1.0,1.0,1.0,1.0,1.0,5.0
377,2013,1.0,2.0,1.0,3.0,3.0,4.0
378,2013,1.0,2.0,1.0,1.0,1.0,3.0
379,2013,1.0,4.0,1.0,1.0,5.0,2.0
380,2013,1.0,1.0,1.0,,,
381,2013,1.0,0.0,1.0,5.0,5.0,2.0
382,2013,1.0,1.0,1.0,2.0,5.0,4.0
383,2013,1.0,3.0,1.0,2.0,3.0,4.0
384,2013,1.0,2.0,1.0,4.0,5.0,4.0
387,2013,0.0,4.0,1.0,2.0,1.0,5.0
390,2013,1.0,3.0,1.0,4.0,4.0,4.0
391,2013,0.0,1.0,0.0,1.0,1.0,5.0
392,2013,1.0,3.0,1.0,1.0,2.0,4.0
398,2013,1.0,1.0,0.0,2.0,1.0,5.0
400,2013,0.0,0.0,1.0,2.0,1.0,4.0
401,2013,1.0,2.0,1.0,4.0,4.0,4.0
402,2013,0.0,3.0,0.0,2.0,3.0,5.0
404,2013,0.0,3.0,0.0,5.0,4.0,4.0
405,2013,1.0,3.0,1.0,2.0,4.0,4.0
407,2013,1.0,3.0,1.0,4.0,2.0,4.0
408,2013,1.0,3.0,1.0,5.0,1.0,5.0
409,2013,1.0,2.0,0.0,4.0,3.0,4.0
410,2013,0.0,2.0,1.0,,,
413,2013,1.0,4.0,1.0,4.0,2.0,4.0
