RESPONDENT_ID,V1_x,SEX,POL_BELIEFS,BR_SR_inhouse,FATHR_PRES,MOTHR_PRES,LONELY,WISH_MORE_FRNDS,USLLY_FRNDS
50240,2021,0.0,1.0,0.0,1.0,1.0,4.0,5.0,1.0
50241,2021,0.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0
50242,2021,1.0,2.0,0.0,0.0,0.0,4.0,4.0,4.0
50243,2021,0.0,0.0,1.0,1.0,1.0,3.0,4.0,5.0
50245,2021,1.0,3.0,0.0,1.0,0.0,5.0,5.0,1.0
50246,2021,0.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0
50247,2021,1.0,1.0,0.0,1.0,1.0,3.0,4.0,4.0
50248,2021,1.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0
50249,2021,1.0,3.0,1.0,0.0,1.0,4.0,4.0,4.0
50250,2021,0.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0
50252,2021,1.0,2.0,0.0,1.0,1.0,4.0,4.0,4.0
50253,2021,0.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0
50254,2021,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0
50257,2021,1.0,3.0,1.0,0.0,1.0,5.0,2.0,
50272,2021,1.0,4.0,0.0,0.0,1.0,4.0,1.0,3.0
50273,2021,0.0,4.0,1.0,1.0,1.0,3.0,1.0,5.0
50274,2021,1.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0
50275,2021,0.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0
50276,2021,0.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0
50277,2021,0.0,2.0,0.0,1.0,1.0,5.0,5.0,1.0
50279,2021,0.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0
50280,2021,0.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0
50282,2021,1.0,3.0,1.0,1.0,1.0,4.0,5.0,5.0
50283,2021,0.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0
50285,2021,0.0,4.0,1.0,1.0,1.0,3.0,3.0,5.0
